ID,StudentName,First5Attendance,First10Attendance,First15Attendance,Change5to10,Change10to15,Present15,Absent15,ConsecutiveAbsences,AttendanceTrend,FinalAttendance,Target
27,Muneeb Ali,20.0,10.0,6.666666666666667,-10.0,-3.333333333333333,1,14,14,Stable,13.636363636363635,0
28,Amna Siddiqui,100.0,80.0,73.33333333333333,-20.0,-6.666666666666671,11,4,0,Declining,77.27272727272727,1
29,Ahmed Aslam,80.0,70.0,60.0,-10.0,-10.0,9,6,0,Declining,59.09090909090909,0
30,Zain Shah,100.0,100.0,86.66666666666667,0.0,-13.333333333333329,13,2,1,Declining,81.81818181818183,1
31,Laiba Akram,40.0,50.0,53.333333333333336,10.0,3.3333333333333357,8,7,0,Stable,54.54545454545454,0
32,Shahzaib Butt,80.0,90.0,86.66666666666667,10.0,-3.3333333333333286,13,2,0,Stable,86.36363636363636,1
33,Zainab Ahmed,20.0,50.0,60.0,30.0,10.0,9,6,0,Improving,59.09090909090909,0
34,Ali Sheikh,40.0,30.0,33.33333333333333,-10.0,3.3333333333333286,5,10,3,Stable,31.818181818181817,0
35,Hira Iqbal,100.0,70.0,80.0,-30.0,10.0,12,3,0,Improving,77.27272727272727,1
36,Ahmed Sheikh,40.0,50.0,46.666666666666664,10.0,-3.3333333333333357,7,8,2,Stable,50.0,0
37,Maham Ali,60.0,30.0,33.33333333333333,-30.0,3.3333333333333286,5,10,0,Stable,40.909090909090914,0
38,Haris Chaudhry,60.0,70.0,80.0,10.0,10.0,12,3,0,Improving,81.81818181818183,1
39,Fahad Akram,60.0,60.0,53.333333333333336,0.0,-6.666666666666664,8,7,2,Declining,63.63636363636363,0
40,Usman Akram,100.0,80.0,80.0,-20.0,0.0,12,3,1,Stable,72.72727272727273,1
41,Talha Butt,40.0,50.0,46.666666666666664,10.0,-3.3333333333333357,7,8,0,Stable,63.63636363636363,0
42,Fatima Chaudhry,80.0,40.0,60.0,-40.0,20.0,9,6,0,Improving,54.54545454545454,0
43,Zainab Ahmed,60.0,70.0,73.33333333333333,10.0,3.3333333333333286,11,4,0,Stable,68.18181818181817,1
44,Taha Malik,40.0,30.0,20.0,-10.0,-10.0,3,12,7,Declining,27.27272727272727,0
45,Muneeb Sheikh,20.0,30.0,40.0,10.0,10.0,6,9,2,Improving,36.36363636363637,0
46,Usman Nawaz,40.0,40.0,33.33333333333333,0.0,-6.666666666666671,5,10,1,Declining,36.36363636363637,0
47,Haris Chaudhry,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,100.0,1
48,Amna Aslam,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,1,Declining,86.36363636363636,1
49,Abdullah Hussain,40.0,40.0,33.33333333333333,0.0,-6.666666666666671,5,10,1,Declining,27.27272727272727,0
50,Iqra Khan,60.0,60.0,66.66666666666666,0.0,6.666666666666657,10,5,0,Improving,68.18181818181817,1
51,Abdullah Khan,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,90.9090909090909,1
52,Sana Hussain,80.0,70.0,60.0,-10.0,-10.0,9,6,1,Declining,63.63636363636363,0
53,Haris Chaudhry,60.0,70.0,73.33333333333333,10.0,3.3333333333333286,11,4,0,Stable,77.27272727272727,1
54,Ahmed Butt,100.0,100.0,86.66666666666667,0.0,-13.333333333333329,13,2,2,Declining,86.36363636363636,1
55,Amna Qureshi,80.0,80.0,73.33333333333333,0.0,-6.666666666666671,11,4,0,Declining,68.18181818181817,1
56,Laiba Hussain,100.0,70.0,46.666666666666664,-30.0,-23.333333333333336,7,8,5,Declining,45.45454545454545,0
57,Bilal Farooq,40.0,40.0,26.666666666666668,0.0,-13.333333333333332,4,11,7,Declining,27.27272727272727,0
58,Haris Nawaz,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,0,Stable,81.81818181818183,1
59,Hamza Chaudhry,60.0,70.0,73.33333333333333,10.0,3.3333333333333286,11,4,0,Stable,72.72727272727273,1
60,Hamza Sheikh,20.0,20.0,20.0,0.0,0.0,3,12,1,Stable,18.181818181818183,0
61,Maryam Aslam,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,95.45454545454545,1
62,Muneeb Chaudhry,20.0,30.0,26.666666666666668,10.0,-3.333333333333332,4,11,3,Stable,22.727272727272727,0
63,Maryam Qureshi,20.0,20.0,20.0,0.0,0.0,3,12,2,Stable,22.727272727272727,0
64,Huzaifa Qureshi,60.0,30.0,26.666666666666668,-30.0,-3.333333333333332,4,11,2,Stable,27.27272727272727,0
65,Haris Akram,100.0,60.0,53.333333333333336,-40.0,-6.666666666666664,8,7,1,Declining,54.54545454545454,0
66,Abdullah Raza,80.0,90.0,80.0,10.0,-10.0,12,3,2,Declining,68.18181818181817,1
67,Ibrahim Farooq,80.0,80.0,60.0,0.0,-20.0,9,6,1,Declining,63.63636363636363,0
68,Ahmed Khan,60.0,60.0,66.66666666666666,0.0,6.666666666666657,10,5,0,Improving,68.18181818181817,1
69,Maham Ali,60.0,70.0,66.66666666666666,10.0,-3.333333333333343,10,5,1,Stable,50.0,0
70,Hamza Malik,100.0,80.0,86.66666666666667,-20.0,6.666666666666671,13,2,0,Improving,81.81818181818183,1
71,Sana Javed,20.0,50.0,53.333333333333336,30.0,3.3333333333333357,8,7,0,Stable,54.54545454545454,0
72,Taha Ahmed,40.0,50.0,53.333333333333336,10.0,3.3333333333333357,8,7,0,Stable,54.54545454545454,0
73,Haris Siddiqui,20.0,40.0,40.0,20.0,0.0,6,9,2,Stable,36.36363636363637,0
74,Taha Nawaz,0.0,20.0,26.666666666666668,20.0,6.666666666666668,4,11,2,Improving,36.36363636363637,0
75,Ibrahim Chaudhry,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,1,Stable,86.36363636363636,1
76,Muneeb Alam,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,90.9090909090909,1
77,Fatima Ali,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,0,Stable,68.18181818181817,1
78,Fatima Aslam,40.0,50.0,60.0,10.0,10.0,9,6,0,Improving,72.72727272727273,1
79,Hira Chaudhry,80.0,50.0,46.666666666666664,-30.0,-3.3333333333333357,7,8,3,Stable,50.0,0
80,Hira Hussain,60.0,50.0,53.333333333333336,-10.0,3.3333333333333357,8,7,0,Stable,59.09090909090909,0
81,Hassan Iqbal,80.0,50.0,53.333333333333336,-30.0,3.3333333333333357,8,7,1,Stable,50.0,0
82,Huzaifa Malik,100.0,90.0,93.33333333333333,-10.0,3.3333333333333286,14,1,0,Stable,77.27272727272727,1
83,Fahad Alam,80.0,80.0,73.33333333333333,0.0,-6.666666666666671,11,4,1,Declining,59.09090909090909,0
84,Maryam Chaudhry,60.0,60.0,66.66666666666666,0.0,6.666666666666657,10,5,1,Improving,63.63636363636363,0
85,Ibrahim Malik,60.0,80.0,80.0,20.0,0.0,12,3,1,Stable,86.36363636363636,1
86,Ibrahim Ali,60.0,50.0,33.33333333333333,-10.0,-16.66666666666667,5,10,5,Declining,31.818181818181817,0
87,Maham Iqbal,40.0,70.0,80.0,30.0,10.0,12,3,0,Improving,63.63636363636363,0
88,Iqra Rehman,60.0,50.0,53.333333333333336,-10.0,3.3333333333333357,8,7,2,Stable,59.09090909090909,0
89,Taha Butt,80.0,50.0,53.333333333333336,-30.0,3.3333333333333357,8,7,0,Stable,50.0,0
90,Hamza Akram,40.0,40.0,53.333333333333336,0.0,13.333333333333336,8,7,0,Improving,63.63636363636363,0
91,Hira Malik,100.0,80.0,80.0,-20.0,0.0,12,3,0,Stable,81.81818181818183,1
92,Muneeb Rehman,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,1,Declining,77.27272727272727,1
93,Amna Alam,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,0,Declining,95.45454545454545,1
94,Taha Hussain,100.0,70.0,66.66666666666666,-30.0,-3.333333333333343,10,5,0,Stable,68.18181818181817,1
95,Danish Alam,0.0,30.0,40.0,30.0,10.0,6,9,0,Improving,31.818181818181817,0
96,Hassan Akram,20.0,20.0,40.0,0.0,20.0,6,9,0,Improving,31.818181818181817,0
97,Laiba Iqbal,80.0,70.0,80.0,-10.0,10.0,12,3,0,Improving,81.81818181818183,1
98,Abdullah Khan,40.0,70.0,60.0,30.0,-10.0,9,6,1,Declining,59.09090909090909,0
99,Abdullah Qureshi,40.0,30.0,40.0,-10.0,10.0,6,9,0,Improving,45.45454545454545,0
100,Ahmed Ahmed,80.0,70.0,66.66666666666666,-10.0,-3.333333333333343,10,5,1,Stable,72.72727272727273,1
101,Maryam Farooq,40.0,40.0,53.333333333333336,0.0,13.333333333333336,8,7,0,Improving,40.909090909090914,0
102,Iqra Ahmed,60.0,70.0,66.66666666666666,10.0,-3.333333333333343,10,5,0,Stable,63.63636363636363,0
103,Hira Aslam,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,1,Stable,72.72727272727273,1
104,Hira Raza,0.0,20.0,20.0,20.0,0.0,3,12,4,Stable,13.636363636363635,0
105,Hamza Farooq,100.0,60.0,60.0,-40.0,0.0,9,6,0,Stable,54.54545454545454,0
106,Muneeb Malik,100.0,60.0,66.66666666666666,-40.0,6.666666666666657,10,5,0,Improving,45.45454545454545,0
107,Ahsan Rehman,20.0,50.0,66.66666666666666,30.0,16.666666666666657,10,5,0,Improving,72.72727272727273,1
108,Maham Shah,20.0,30.0,26.666666666666668,10.0,-3.333333333333332,4,11,2,Stable,40.909090909090914,0
109,Huzaifa Butt,100.0,80.0,73.33333333333333,-20.0,-6.666666666666671,11,4,2,Declining,68.18181818181817,1
110,Amna Aslam,80.0,50.0,60.0,-30.0,10.0,9,6,0,Improving,45.45454545454545,0
111,Hira Butt,100.0,70.0,60.0,-30.0,-10.0,9,6,3,Declining,59.09090909090909,0
112,Zainab Iqbal,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,0,Stable,72.72727272727273,1
113,Haris Akram,20.0,40.0,46.666666666666664,20.0,6.666666666666664,7,8,0,Improving,40.909090909090914,0
114,Fahad Rehman,80.0,80.0,73.33333333333333,0.0,-6.666666666666671,11,4,2,Declining,77.27272727272727,1
115,Fahad Ali,40.0,60.0,60.0,20.0,0.0,9,6,2,Stable,68.18181818181817,1
116,Abdullah Sheikh,60.0,80.0,80.0,20.0,0.0,12,3,0,Stable,59.09090909090909,0
117,Ahmed Hussain,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,95.45454545454545,1
118,Umar Qureshi,60.0,40.0,40.0,-20.0,0.0,6,9,2,Stable,45.45454545454545,0
119,Muneeb Sheikh,80.0,60.0,60.0,-20.0,0.0,9,6,0,Stable,63.63636363636363,0
120,Shahzaib Sheikh,40.0,50.0,53.333333333333336,10.0,3.3333333333333357,8,7,2,Stable,50.0,0
121,Umar Ahmed,80.0,80.0,80.0,0.0,0.0,12,3,0,Stable,68.18181818181817,1
122,Zainab Khan,40.0,70.0,73.33333333333333,30.0,3.3333333333333286,11,4,1,Stable,72.72727272727273,1
123,Abdullah Ahmed,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,1,Stable,72.72727272727273,1
124,Laiba Khan,80.0,50.0,60.0,-30.0,10.0,9,6,0,Improving,63.63636363636363,0
125,Maham Hussain,80.0,60.0,73.33333333333333,-20.0,13.333333333333329,11,4,0,Improving,77.27272727272727,1
126,Ahmed Rehman,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,0,Stable,77.27272727272727,1
127,Abdullah Chaudhry,0.0,0.0,0.0,0.0,0.0,0,15,15,Stable,9.090909090909092,0
128,Fatima Farooq,20.0,30.0,20.0,10.0,-10.0,3,12,6,Declining,18.181818181818183,0
129,Bilal Aslam,20.0,40.0,60.0,20.0,20.0,9,6,0,Improving,72.72727272727273,1
130,Hamza Qureshi,60.0,70.0,60.0,10.0,-10.0,9,6,0,Declining,59.09090909090909,0
131,Shahzaib Farooq,80.0,80.0,66.66666666666666,0.0,-13.333333333333343,10,5,0,Declining,68.18181818181817,1
132,Abdullah Farooq,20.0,20.0,20.0,0.0,0.0,3,12,1,Stable,22.727272727272727,0
133,Sana Javed,60.0,50.0,46.666666666666664,-10.0,-3.3333333333333357,7,8,0,Stable,36.36363636363637,0
134,Bilal Ali,60.0,70.0,73.33333333333333,10.0,3.3333333333333286,11,4,0,Stable,72.72727272727273,1
135,Hassan Javed,100.0,90.0,93.33333333333333,-10.0,3.3333333333333286,14,1,0,Stable,86.36363636363636,1
136,Talha Javed,60.0,80.0,80.0,20.0,0.0,12,3,0,Stable,81.81818181818183,1
137,Huzaifa Nawaz,20.0,30.0,26.666666666666668,10.0,-3.333333333333332,4,11,1,Stable,18.181818181818183,0
138,Maham Khan,80.0,80.0,66.66666666666666,0.0,-13.333333333333343,10,5,2,Declining,50.0,0
139,Fatima Ali,40.0,50.0,53.333333333333336,10.0,3.3333333333333357,8,7,1,Stable,68.18181818181817,1
140,Ali Siddiqui,40.0,60.0,73.33333333333333,20.0,13.333333333333329,11,4,0,Improving,81.81818181818183,1
141,Maryam Hussain,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,0,Declining,86.36363636363636,1
142,Sana Ali,60.0,60.0,66.66666666666666,0.0,6.666666666666657,10,5,0,Improving,72.72727272727273,1
143,Abdullah Butt,80.0,60.0,53.333333333333336,-20.0,-6.666666666666664,8,7,1,Declining,54.54545454545454,0
144,Bilal Aslam,40.0,50.0,46.666666666666664,10.0,-3.3333333333333357,7,8,0,Stable,50.0,0
145,Fahad Raza,100.0,80.0,60.0,-20.0,-20.0,9,6,1,Declining,45.45454545454545,0
146,Huzaifa Malik,60.0,50.0,46.666666666666664,-10.0,-3.3333333333333357,7,8,0,Stable,45.45454545454545,0
147,Ahsan Nawaz,40.0,70.0,60.0,30.0,-10.0,9,6,0,Declining,68.18181818181817,1
148,Abdullah Ahmed,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,1,Stable,86.36363636363636,1
149,Fahad Aslam,80.0,90.0,73.33333333333333,10.0,-16.66666666666667,11,4,1,Declining,72.72727272727273,1
150,Hassan Khan,80.0,90.0,93.33333333333333,10.0,3.3333333333333286,14,1,0,Stable,95.45454545454545,1
151,Ayesha Aslam,20.0,20.0,33.33333333333333,0.0,13.333333333333329,5,10,1,Improving,45.45454545454545,0
152,Iqra Alam,40.0,50.0,60.0,10.0,10.0,9,6,0,Improving,54.54545454545454,0
153,Ahmed Sheikh,80.0,90.0,73.33333333333333,10.0,-16.66666666666667,11,4,1,Declining,77.27272727272727,1
154,Usman Javed,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,0,Declining,90.9090909090909,1
155,Danish Farooq,80.0,70.0,66.66666666666666,-10.0,-3.333333333333343,10,5,0,Stable,72.72727272727273,1
156,Bilal Siddiqui,60.0,60.0,60.0,0.0,0.0,9,6,0,Stable,50.0,0
157,Laiba Khan,20.0,40.0,46.666666666666664,20.0,6.666666666666664,7,8,0,Improving,54.54545454545454,0
158,Usman Siddiqui,40.0,60.0,53.333333333333336,20.0,-6.666666666666664,8,7,1,Declining,50.0,0
159,Umar Siddiqui,40.0,40.0,40.0,0.0,0.0,6,9,0,Stable,50.0,0
160,Ahsan Nawaz,100.0,100.0,86.66666666666667,0.0,-13.333333333333329,13,2,0,Declining,86.36363636363636,1
161,Zain Javed,40.0,60.0,66.66666666666666,20.0,6.666666666666657,10,5,0,Improving,54.54545454545454,0
162,Zainab Aslam,80.0,80.0,80.0,0.0,0.0,12,3,0,Stable,72.72727272727273,1
163,Fatima Farooq,20.0,40.0,60.0,20.0,20.0,9,6,0,Improving,72.72727272727273,1
164,Hamza Butt,100.0,90.0,93.33333333333333,-10.0,3.3333333333333286,14,1,0,Stable,95.45454545454545,1
165,Zain Butt,20.0,50.0,46.666666666666664,30.0,-3.3333333333333357,7,8,1,Stable,54.54545454545454,0
166,Ali Qureshi,40.0,60.0,60.0,20.0,0.0,9,6,0,Stable,54.54545454545454,0
167,Maryam Aslam,40.0,60.0,60.0,20.0,0.0,9,6,0,Stable,54.54545454545454,0
168,Ali Hussain,40.0,30.0,46.666666666666664,-10.0,16.666666666666664,7,8,1,Improving,45.45454545454545,0
169,Ali Khan,80.0,70.0,80.0,-10.0,10.0,12,3,0,Improving,77.27272727272727,1
170,Shahzaib Farooq,40.0,40.0,46.666666666666664,0.0,6.666666666666664,7,8,1,Improving,50.0,0
171,Ibrahim Rehman,40.0,40.0,46.666666666666664,0.0,6.666666666666664,7,8,2,Improving,31.818181818181817,0
172,Usman Khan,80.0,90.0,86.66666666666667,10.0,-3.3333333333333286,13,2,1,Stable,86.36363636363636,1
173,Ibrahim Ahmed,60.0,70.0,66.66666666666666,10.0,-3.333333333333343,10,5,0,Stable,68.18181818181817,1
174,Maham Malik,40.0,40.0,46.666666666666664,0.0,6.666666666666664,7,8,0,Improving,59.09090909090909,0
175,Ahmed Shah,60.0,70.0,46.666666666666664,10.0,-23.333333333333336,7,8,5,Declining,45.45454545454545,0
176,Ahmed Sheikh,80.0,80.0,86.66666666666667,0.0,6.666666666666671,13,2,0,Improving,90.9090909090909,1
177,Haris Ali,80.0,80.0,86.66666666666667,0.0,6.666666666666671,13,2,0,Improving,68.18181818181817,1
178,Laiba Qureshi,80.0,80.0,80.0,0.0,0.0,12,3,0,Stable,86.36363636363636,1
179,Abdullah Qureshi,80.0,90.0,93.33333333333333,10.0,3.3333333333333286,14,1,0,Stable,95.45454545454545,1
180,Taha Khan,100.0,70.0,53.333333333333336,-30.0,-16.666666666666664,8,7,2,Declining,54.54545454545454,0
181,Taha Ahmed,40.0,30.0,33.33333333333333,-10.0,3.3333333333333286,5,10,1,Stable,36.36363636363637,0
182,Huzaifa Qureshi,60.0,50.0,53.333333333333336,-10.0,3.3333333333333357,8,7,0,Stable,59.09090909090909,0
183,Shahzaib Rehman,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,0,Declining,90.9090909090909,1
184,Saad Chaudhry,40.0,40.0,46.666666666666664,0.0,6.666666666666664,7,8,2,Improving,45.45454545454545,0
185,Bilal Hussain,40.0,30.0,26.666666666666668,-10.0,-3.333333333333332,4,11,3,Stable,31.818181818181817,0
186,Abdullah Chaudhry,60.0,60.0,53.333333333333336,0.0,-6.666666666666664,8,7,0,Declining,59.09090909090909,0
187,Haris Raza,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,100.0,1
188,Fatima Iqbal,60.0,80.0,86.66666666666667,20.0,6.666666666666671,13,2,0,Improving,90.9090909090909,1
189,Fahad Hussain,60.0,40.0,40.0,-20.0,0.0,6,9,1,Stable,36.36363636363637,0
190,Amna Ahmed,80.0,70.0,80.0,-10.0,10.0,12,3,0,Improving,72.72727272727273,1
191,Umar Nawaz,40.0,20.0,26.666666666666668,-20.0,6.666666666666668,4,11,2,Improving,31.818181818181817,0
192,Taha Qureshi,40.0,40.0,33.33333333333333,0.0,-6.666666666666671,5,10,3,Declining,31.818181818181817,0
193,Hassan Ahmed,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,0,Stable,77.27272727272727,1
194,Muneeb Butt,100.0,90.0,73.33333333333333,-10.0,-16.66666666666667,11,4,3,Declining,63.63636363636363,0
195,Ibrahim Chaudhry,20.0,20.0,26.666666666666668,0.0,6.666666666666668,4,11,1,Improving,18.181818181818183,0
196,Hamza Akram,40.0,50.0,60.0,10.0,10.0,9,6,0,Improving,63.63636363636363,0
197,Laiba Ahmed,20.0,50.0,46.666666666666664,30.0,-3.3333333333333357,7,8,1,Stable,59.09090909090909,0
198,Laiba Sheikh,20.0,10.0,26.666666666666668,-10.0,16.666666666666668,4,11,0,Improving,22.727272727272727,0
199,Talha Iqbal,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,72.72727272727273,1
200,Usman Nawaz,80.0,70.0,66.66666666666666,-10.0,-3.333333333333343,10,5,1,Stable,63.63636363636363,0
201,Iqra Aslam,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,100.0,1
202,Zainab Iqbal,60.0,60.0,53.333333333333336,0.0,-6.666666666666664,8,7,0,Declining,54.54545454545454,0
203,Taha Rehman,40.0,50.0,60.0,10.0,10.0,9,6,0,Improving,59.09090909090909,0
204,Umar Aslam,0.0,50.0,66.66666666666666,50.0,16.666666666666657,10,5,0,Improving,77.27272727272727,1
205,Zain Ali,60.0,60.0,60.0,0.0,0.0,9,6,2,Stable,50.0,0
206,Laiba Raza,100.0,100.0,100.0,0.0,0.0,15,0,0,Stable,90.9090909090909,1
207,Ahsan Ali,60.0,50.0,46.666666666666664,-10.0,-3.3333333333333357,7,8,0,Stable,45.45454545454545,0
208,Laiba Ali,80.0,90.0,86.66666666666667,10.0,-3.3333333333333286,13,2,0,Stable,81.81818181818183,1
209,Maryam Aslam,20.0,20.0,26.666666666666668,0.0,6.666666666666668,4,11,2,Improving,31.818181818181817,0
210,Hamza Chaudhry,40.0,60.0,73.33333333333333,20.0,13.333333333333329,11,4,0,Improving,81.81818181818183,1
211,Zain Shah,60.0,50.0,33.33333333333333,-10.0,-16.66666666666667,5,10,6,Declining,40.909090909090914,0
212,Bilal Hussain,0.0,0.0,13.333333333333334,0.0,13.333333333333334,2,13,0,Improving,9.090909090909092,0
213,Bilal Chaudhry,40.0,60.0,53.333333333333336,20.0,-6.666666666666664,8,7,0,Declining,59.09090909090909,0
214,Ibrahim Farooq,40.0,20.0,33.33333333333333,-20.0,13.333333333333329,5,10,0,Improving,31.818181818181817,0
215,Ahsan Khan,20.0,60.0,60.0,40.0,0.0,9,6,0,Stable,54.54545454545454,0
216,Ahmed Javed,80.0,70.0,53.333333333333336,-10.0,-16.666666666666664,8,7,3,Declining,63.63636363636363,0
217,Iqra Chaudhry,100.0,90.0,80.0,-10.0,-10.0,12,3,0,Declining,81.81818181818183,1
218,Ali Alam,80.0,80.0,80.0,0.0,0.0,12,3,0,Stable,77.27272727272727,1
219,Saad Raza,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,77.27272727272727,1
220,Ayesha Chaudhry,80.0,90.0,73.33333333333333,10.0,-16.66666666666667,11,4,2,Declining,68.18181818181817,1
221,Usman Nawaz,0.0,0.0,0.0,0.0,0.0,0,15,15,Stable,13.636363636363635,0
222,Muneeb Javed,80.0,70.0,60.0,-10.0,-10.0,9,6,2,Declining,59.09090909090909,0
223,Muneeb Alam,100.0,100.0,73.33333333333333,0.0,-26.66666666666667,11,4,2,Declining,77.27272727272727,1
224,Hassan Ahmed,100.0,90.0,86.66666666666667,-10.0,-3.3333333333333286,13,2,0,Stable,86.36363636363636,1
225,Laiba Raza,80.0,40.0,40.0,-40.0,0.0,6,9,0,Stable,59.09090909090909,0
226,Muneeb Khan,60.0,50.0,53.333333333333336,-10.0,3.3333333333333357,8,7,0,Stable,50.0,0
227,Iqra Akram,40.0,60.0,66.66666666666666,20.0,6.666666666666657,10,5,0,Improving,59.09090909090909,0
228,Shahzaib Aslam,100.0,90.0,73.33333333333333,-10.0,-16.66666666666667,11,4,2,Declining,68.18181818181817,1
229,Hamza Javed,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,1,Declining,86.36363636363636,1
230,Hamza Khan,80.0,70.0,73.33333333333333,-10.0,3.3333333333333286,11,4,1,Stable,68.18181818181817,1
231,Zain Akram,80.0,70.0,53.333333333333336,-10.0,-16.666666666666664,8,7,4,Declining,54.54545454545454,0
232,Laiba Khan,40.0,70.0,66.66666666666666,30.0,-3.333333333333343,10,5,0,Stable,72.72727272727273,1
233,Laiba Akram,40.0,50.0,53.333333333333336,10.0,3.3333333333333357,8,7,0,Stable,59.09090909090909,0
234,Bilal Sheikh,40.0,50.0,53.333333333333336,10.0,3.3333333333333357,8,7,0,Stable,50.0,0
235,Fatima Ali,100.0,80.0,66.66666666666666,-20.0,-13.333333333333343,10,5,0,Declining,63.63636363636363,0
236,Talha Aslam,0.0,20.0,33.33333333333333,20.0,13.333333333333329,5,10,0,Improving,27.27272727272727,0
237,Laiba Javed,40.0,40.0,33.33333333333333,0.0,-6.666666666666671,5,10,0,Declining,45.45454545454545,0
238,Taha Raza,80.0,70.0,66.66666666666666,-10.0,-3.333333333333343,10,5,1,Stable,59.09090909090909,0
239,Amna Sheikh,80.0,80.0,86.66666666666667,0.0,6.666666666666671,13,2,0,Improving,81.81818181818183,1
240,Maham Malik,100.0,100.0,93.33333333333333,0.0,-6.666666666666671,14,1,0,Declining,86.36363636363636,1
241,Sana Malik,20.0,40.0,46.666666666666664,20.0,6.666666666666664,7,8,1,Improving,59.09090909090909,0
